match_id,time,avg_summoner_lvl_team_1,avg_match_history_length_team_1,avg_win_rate_team_1,sum_champ_mastery_team_1,avg_summoner_lvl_team_2,avg_match_history_length_team_2,avg_win_rate_team_2,sum_champ_mastery_team_2,winner
NA1_5057149448,2024-08-24 18:26:38.182219,396.4,20.0,0.49,1152623,311.6,20.0,0.27,80148,1
NA1_5057113991,2024-08-24 18:27:14.044405,438.8,20.0,0.47,2542354,378.8,20.0,0.28,1322842,1
NA1_5056359822,2024-08-24 18:28:25.944499,373.4,20.0,0.28,1366803,163.0,20.0,0.57,240727,2
NA1_5091372659,2024-08-24 18:29:02.241193,249.6,20.0,0.49,2917936,314.6,20.0,0.47,3639480,1
NA1_5090972118,2024-08-24 18:29:36.580062,400.0,20.0,0.47,825940,322.0,20.0,0.5,87421,1
NA1_5090960307,2024-08-24 18:30:40.296930,416.6,20.0,0.42,1282283,428.8,20.0,0.43,2255557,1
NA1_5093610021,2024-08-24 18:31:14.103411,398.0,20.0,0.52,736554,393.4,20.0,0.52,592483,1
NA1_5093585047,2024-08-24 18:32:25.644444,261.8,20.0,0.53,317848,156.2,19.4,0.44,97471,1
NA1_5093550076,2024-08-24 18:32:59.867449,366.8,20.0,0.51,1926723,194.8,20.0,0.51,1777754,1
NA1_5091061234,2024-08-24 18:33:33.488809,464.0,20.0,0.51,853447,315.6,20.0,0.48,379790,1
NA1_5091046008,2024-08-24 18:34:44.024399,442.4,20.0,0.53,1189877,413.2,20.0,0.51,839764,1
NA1_5053965073,2024-08-24 18:35:18.502153,453.2,20.0,0.46,597748,427.0,20.0,0.51,4984154,1
NA1_5093972783,2024-08-24 18:36:28.479186,251.4,20.0,0.46,818301,510.8,20.0,0.46,744083,2
NA1_5093940160,2024-08-24 18:37:01.451402,487.0,20.0,0.45,1223662,386.4,20.0,0.49,2236756,2
NA1_5093926818,2024-08-24 18:37:34.650596,246.8,20.0,0.47,191654,340.2,20.0,0.53,169187,2
NA1_5093242475,2024-08-24 18:38:47.134234,381.2,20.0,0.48,534197,313.0,20.0,0.48,1330382,2
NA1_5075507125,2024-08-24 18:39:20.303686,409.6,20.0,0.51,406001,412.2,20.0,0.51,334768,1
NA1_5075473857,2024-08-24 18:40:32.411080,480.4,20.0,0.51,371405,534.0,20.0,0.48,265901,1
NA1_5093966496,2024-08-24 18:41:05.359849,235.6,20.0,0.49,2267223,187.6,20.0,0.56,2248687,2
NA1_5093953457,2024-08-24 18:42:17.857235,275.2,20.0,0.47,2187913,392.0,20.0,0.49,2471478,2
NA1_5093348999,2024-08-24 18:42:51.360364,251.0,20.0,0.5,2316257,408.4,16.6,0.49,316055,1
NA1_5093485113,2024-08-24 18:43:24.969111,277.8,20.0,0.52,378905,428.8,20.0,0.43,419484,1
NA1_5092279001,2024-08-24 18:44:34.810675,401.2,20.0,0.48,1385311,311.2,20.0,0.51,1768039,1
NA1_5091680049,2024-08-24 18:45:05.588332,252.8,20.0,0.49,551354,235.6,20.0,0.57,695907,2
NA1_5019870802,2024-08-24 18:46:20.931415,422.8,20.0,0.47,1170068,307.8,20.0,0.52,711601,2
NA1_5015828826,2024-08-24 18:46:50.470814,247.4,20.0,0.52,610631,388.4,20.0,0.52,835378,1
NA1_5011637423,2024-08-24 18:47:20.521144,383.6,20.0,0.54,1458809,313.8,20.0,0.49,1148377,2
NA1_5090105129,2024-08-24 18:48:37.351400,343.6,20.0,0.48,384086,356.8,20.0,0.49,546750,2
NA1_5089833844,2024-08-24 18:49:07.939476,236.2,20.0,0.5,1500624,406.2,20.0,0.5,787215,1
NA1_5088616503,2024-08-24 18:50:23.621227,450.2,20.0,0.5,850421,264.8,20.0,0.51,569102,1
NA1_5081602291,2024-08-24 18:50:53.459969,299.0,18.8,0.44,479381,302.4,15.0,0.56,1857143,2
NA1_5081589304,2024-08-24 18:51:23.223408,356.2,20.0,0.55,371197,198.4,18.8,0.41,293511,1
NA1_5074839457,2024-08-24 18:52:39.450992,464.4,20.0,0.45,225405,295.6,20.0,0.52,1680176,1
NA1_5035049372,2024-08-24 18:53:08.990204,353.4,20.0,0.49,2012271,422.0,20.0,0.49,414271,1
NA1_5034700615,2024-08-24 18:54:26.746973,335.6,20.0,0.47,1111992,372.0,20.0,0.45,314281,1
NA1_5034211070,2024-08-24 18:54:56.181452,412.2,20.0,0.5,3153830,200.2,20.0,0.49,1037692,2
NA1_5089985760,2024-08-24 18:55:25.746777,276.0,20.0,0.56,168757,419.2,20.0,0.43,550059,1
NA1_5089938065,2024-08-24 18:56:42.589061,390.2,20.0,0.48,1620648,311.0,20.0,0.4,1742371,1
NA1_5089885734,2024-08-24 18:57:11.928128,435.6,20.0,0.48,1056377,441.0,20.0,0.46,1509366,2
NA1_5077883631,2024-08-24 18:58:29.415773,138.8,20.0,0.58,1591316,50.8,20.0,0.58,104521,1
NA1_5077844599,2024-08-24 18:58:58.620216,282.6,20.0,0.48,412093,427.2,20.0,0.56,1186712,2
NA1_5075338746,2024-08-24 18:59:28.810375,602.0,20.0,0.49,644265,246.2,20.0,0.47,1634846,1
