match_id,time,gold_ratio,xp_ratio,cs_ratio,kills_ratio,win
NA1_5069293840,2024-11-15 22:31:56.495777,1.0888840548183598,1.035415625520573,1.0,2.0,1
NA1_5069293840,2024-11-15 22:31:57.455192,0.9183714240051143,0.9657957397515927,1.0,0.5,0
NA1_5069241094,2024-11-15 22:31:58.762159,1.0840900908108972,1.1261046672190003,1.0505494505494506,2.4,1
NA1_5069241094,2024-11-15 22:31:59.626174,0.9224325620871618,0.8880169216149106,0.9518828451882845,0.4166666666666667,0
NA1_5069193436,2024-11-15 22:32:00.542431,1.0318414368001145,1.0820676139147476,1.1108179419525066,1.6666666666666667,1
NA1_5069193436,2024-11-15 22:32:01.426319,0.9691411532193752,0.9241566674213267,0.9002375296912114,0.6,0
NA1_5068490641,2024-11-15 22:32:02.506492,0.9353315540956683,0.9719408427876823,1.020100502512563,1.1428571428571428,0
NA1_5068490641,2024-11-15 22:32:03.541504,1.0691395961369623,1.0288692027097446,0.9802955665024631,0.875,1
NA1_5068415777,2024-11-15 22:35:35.620607,1.0692084212202013,1.0015776425512735,1.1199095022624435,0.6363636363636364,1
NA1_5068415777,2024-11-15 22:35:35.620607,0.9352713466835405,0.9984248424842485,0.8929292929292929,1.5714285714285714,0
NA1_5081708852,2024-11-15 22:35:36.524115,0.9095647172998814,0.9537496816908582,0.8726114649681529,0.8333333333333334,1
NA1_5081708852,2024-11-15 22:35:36.524115,1.0994269907132979,1.0484931415412342,1.145985401459854,1.2,0
NA1_5081683864,2024-11-15 22:35:37.501667,0.9405816384717735,0.9169582899839213,0.9800884955752213,0.4444444444444444,1
NA1_5081683864,2024-11-15 22:35:37.501667,1.0631719343626223,1.0905621454357917,1.020316027088036,2.25,0
NA1_5081638800,2024-11-15 22:35:38.388421,1.1880739322418037,1.043921069382559,1.0547619047619048,2.0,1
NA1_5081638800,2024-11-15 22:35:38.388421,0.8416984607288515,0.9579268292682926,0.9480812641083521,0.5,0
NA1_5087882340,2024-11-15 22:35:39.431147,1.10648486324162,1.129683936135549,1.0851581508515815,2.1666666666666665,1
NA1_5087882340,2024-11-15 22:35:39.431147,0.9037629281889533,0.8852033458321316,0.92152466367713,0.46153846153846156,0
NA1_5087838768,2024-11-15 22:35:40.470767,0.9060499299162784,0.9922267481330618,0.9569160997732427,1.1111111111111112,0
NA1_5087838768,2024-11-15 22:35:40.470767,1.1036919346071832,1.0078341486777735,1.0450236966824644,0.9,1
NA1_5087791995,2024-11-15 22:35:41.403143,1.0030855309170197,1.008223120674296,1.0902255639097744,1.0,0
NA1_5087791995,2024-11-15 22:35:41.403143,0.9969239602985809,0.9918439475293958,0.9172413793103448,1.0,1
NA1_5038896818,2024-11-15 22:35:42.318468,0.9460731863898995,0.9283557253790213,0.8042553191489362,1.0714285714285714,0
NA1_5038896818,2024-11-15 22:35:42.318468,1.057000678579507,1.0771732996979453,1.2433862433862435,0.9333333333333333,1
